t_us,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
10494065,10446305,0.2701416015625,0.34466552734375,-0.046875,-0.89776611328125,0,14,10447371,1015.552490234375,23.290000915527344,-19.140962600708008,15,10494062,0,0,0.0,0.0,0.0,0,15
10540130,10498490,0.2725830078125,0.34478759765625,-0.04522705078125,-0.8970947265625,0,15,10499556,1015.533203125,23.299999237060547,-18.979782104492188,16,10540127,0,0,0.0,0.0,0.0,0,16
10592060,10550490,0.27484130859375,0.3443603515625,-0.0439453125,-0.89666748046875,0,16,10551556,1015.51904296875,23.299999237060547,-18.8635196685791,17,10592057,0,0,0.0,0.0,0.0,0,17
10645059,10602739,0.2783203125,0.34344482421875,-0.0426025390625,-0.89599609375,0,17,10603805,1015.540283203125,23.309999465942383,-19.037912368774414,18,10645056,0,0,0.0,0.0,0.0,0,18
10692059,10655740,0.28070068359375,0.3426513671875,-0.04119873046875,-0.8956298828125,0,18,10656805,1015.51953125,23.309999465942383,-18.866161346435547,19,10692056,0,0,0.0,0.0,0.0,0,19
10741357,10693490,0.2825927734375,0.34136962890625,-0.0400390625,-0.89556884765625,0,19,10694556,1015.5390625,23.309999465942383,-19.029985427856445,20,10741354,0,0,0.0,0.0,0.0,0,20
10793124,10745555,0.282958984375,0.34112548828125,-0.03985595703125,-0.8955078125,0,20,10746621,1015.520751953125,23.309999465942383,-18.87672996520996,21,10793121,0,0,0.0,0.0,0.0,0,21
10840129,10797675,0.28369140625,0.34002685546875,-0.0391845703125,-0.895751953125,0,21,10798741,1015.528076171875,23.309999465942383,-18.937503814697266,22,10840126,0,0,0.0,0.0,0.0,0,22
10899060,10850740,0.28387451171875,0.3394775390625,-0.0390625,-0.8958740234375,0,22,10851806,1015.531005859375,23.31999969482422,-18.961284637451172,23,10899057,0,0,0.0,0.0,0.0,0,23
10945125,10903490,0.28369140625,0.339111328125,-0.03961181640625,-0.89605712890625,0,23,10904556,1015.517578125,23.31999969482422,-18.85030746459961,24,10945122,0,0,0.0,0.0,0.0,0,24
10991179,10955490,0.2822265625,0.33795166015625,-0.04095458984375,-0.89691162109375,0,24,10956556,1015.52587890625,23.31999969482422,-18.919008255004883,25,10991176,0,0,0.0,0.0,0.0,0,25
11043334,10994675,0.2813720703125,0.33697509765625,-0.04156494140625,-0.89752197265625,0,25,10995741,1015.4931640625,23.31999969482422,-18.646848678588867,26,11043331,0,0,0.0,0.0,0.0,0,26
11094059,11046305,0.2808837890625,0.336669921875,-0.04180908203125,-0.89776611328125,0,26,11047371,1015.518310546875,23.31999969482422,-18.855592727661133,27,11094057,0,0,0.0,0.0,0.0,0,27
11140060,11098490,0.2774658203125,0.33489990234375,-0.0428466796875,-0.89947509765625,0,27,11099556,1015.539794921875,23.329999923706055,-19.03527069091797,28,11140057,0,0,0.0,0.0,0.0,0,28
11192060,11150490,0.2745361328125,0.3360595703125,-0.04534912109375,-0.8997802734375,0,28,11151556,1015.523681640625,23.329999923706055,-18.900510787963867,29,11192057,0,0,0.0,0.0,0.0,0,29
11245334,11202675,0.270751953125,0.338623046875,-0.04949951171875,-0.8997802734375,0,29,11203741,1015.53271484375,23.329999923706055,-18.97713851928711,30,11245331,0,0,0.0,0.0,0.0,0,30
11291188,11254740,0.269775390625,0.3431396484375,-0.0543212890625,-0.8980712890625,0,30,11255806,1015.51708984375,23.329999923706055,-18.847665786743164,31,11291185,0,0,0.0,0.0,0.0,0,31
11342060,11293675,0.268798828125,0.346435546875,-0.05950927734375,-0.89678955078125,0,31,11294741,1015.525390625,23.34000015258789,-18.916364669799805,32,11342057,0,0,0.0,0.0,0.0,0,32
11393121,11345555,0.26898193359375,0.34747314453125,-0.06121826171875,-0.89617919921875,0,32,11346621,1015.537841796875,23.34000015258789,-19.01941680908203,33,11393118,0,0,0.0,0.0,0.0,0,33
11445343,11397490,0.2686767578125,0.3480224609375,-0.06646728515625,-0.89569091796875,0,33,11398556,1015.51416015625,23.329999923706055,-18.82124137878418,34,11445340,0,0,0.0,0.0,0.0,0,34
11492059,11449739,0.26788330078125,0.347900390625,-0.0687255859375,-0.89581298828125,0,34,11450805,1015.53857421875,23.34000015258789,-19.024700164794922,35,11492056,0,0,0.0,0.0,0.0,0,35
11544059,11501860,0.2664794921875,0.3465576171875,-0.06964111328125,-0.89666748046875,0,35,11502926,1015.505859375,23.34000015258789,-18.75254249572754,36,11544057,0,0,0.0,0.0,0.0,0,36
11591059,11554859,0.2650146484375,0.34490966796875,-0.0699462890625,-0.897705078125,0,36,11555926,1015.53173828125,23.34000015258789,-18.96921157836914,37,11591057,0,0,0.0,0.0,0.0,0,37
11640059,11592490,0.26361083984375,0.34271240234375,-0.070068359375,-0.89892578125,0,37,11593556,1015.4873046875,23.34000015258789,-18.599287033081055,38,11640056,0,0,0.0,0.0,0.0,0,38
11692060,11644555,0.26300048828125,0.34185791015625,-0.07012939453125,-0.89947509765625,0,38,11645621,1015.53125,23.34000015258789,-18.96392822265625,39,11692057,0,0,0.0,0.0,0.0,0,39
11744060,11696305,0.26031494140625,0.33966064453125,-0.0701904296875,-0.90106201171875,0,39,11697371,1015.508544921875,23.34000015258789,-18.776323318481445,40,11744057,0,0,0.0,0.0,0.0,0,40
11791125,11748924,0.25933837890625,0.3388671875,-0.07012939453125,-0.90167236328125,0,40,11749991,1015.511474609375,23.34000015258789,-18.80010414123535,41,11791122,0,0,0.0,0.0,0.0,0,41
11843117,11801490,0.25775146484375,0.3380126953125,-0.0699462890625,-0.9024658203125,0,41,11802556,1015.5068359375,23.34000015258789,-18.760469436645508,42,11843114,0,0,0.0,0.0,0.0,0,42
11895124,11853490,0.25762939453125,0.3377685546875,-0.06915283203125,-0.90264892578125,0,42,11854556,1015.51171875,23.34000015258789,-18.802745819091797,43,11895121,0,0,0.0,0.0,0.0,0,43
11941172,11905490,0.25787353515625,0.33770751953125,-0.06884765625,-0.902587890625,0,43,11906556,1015.51025390625,23.350000381469727,-18.789533615112305,44,11941169,0,0,0.0,0.0,0.0,0,44
11992060,11943675,0.25830078125,0.3382568359375,-0.06842041015625,-0.90234375,0,44,11944741,1015.53076171875,23.350000381469727,-18.958642959594727,45,11992057,0,0,0.0,0.0,0.0,0,45
12043114,11995555,0.25885009765625,0.33880615234375,-0.06805419921875,-0.9019775390625,0,45,11996621,1015.488037109375,23.350000381469727,-18.607213973999023,46,12043111,0,0,0.0,0.0,0.0,0,46
12090060,12047675,0.26025390625,0.3404541015625,-0.06756591796875,-0.9010009765625,0,46,12048741,1015.511962890625,23.360000610351562,-18.805387496948242,47,12090057,0,0,0.0,0.0,0.0,0,47
12142059,12099924,0.2618408203125,0.341552734375,-0.0662841796875,-0.90020751953125,0,47,12100990,1015.51611328125,23.360000610351562,-18.839738845825195,48,12142056,0,0,0.0,0.0,0.0,0,48
12193113,12151490,0.26458740234375,0.34295654296875,-0.064453125,-0.89898681640625,0,48,12152556,1015.541015625,23.350000381469727,-19.045839309692383,49,12193111,0,0,0.0,0.0,0.0,0,49
12240073,12203859,0.266845703125,0.34442138671875,-0.06280517578125,-0.89788818359375,0,49,12204926,1015.532958984375,23.350000381469727,-18.97713851928711,50,12240070,0,0,0.0,0.0,0.0,0,50
12291170,12243490,0.2689208984375,0.3448486328125,-0.060791015625,-0.89727783203125,0,50,12244556,1015.5087890625,23.350000381469727,-18.776323318481445,51,12291167,0,0,0.0,0.0,0.0,0,51
12344060,12296305,0.27056884765625,0.34515380859375,-0.0594482421875,-0.896728515625,0,51,12297371,1015.5185546875,23.360000610351562,-18.858234405517578,52,12344057,0,0,0.0,0.0,0.0,0,52
12395112,12347490,0.2735595703125,0.3460693359375,-0.0576171875,-0.89556884765625,0,52,12348556,1015.512939453125,23.360000610351562,-18.81331443786621,53,12395109,0,0,0.0,0.0,0.0,0,53
12442059,12399740,0.27618408203125,0.347412109375,-0.056396484375,-0.89434814453125,0,53,12400805,1015.5263671875,23.360000610351562,-18.924291610717773,54,12442056,0,0,0.0,0.0,0.0,0,54
12494059,12452490,0.27789306640625,0.34820556640625,-0.05535888671875,-0.8935546875,0,54,12453556,1015.533447265625,23.360000610351562,-18.982423782348633,55,12494056,0,0,0.0,0.0,0.0,0,55
12540070,12504490,0.27923583984375,0.34869384765625,-0.0548095703125,-0.89300537109375,0,55,12505556,1015.504638671875,23.360000610351562,-18.74461555480957,56,12540067,0,0,0.0,0.0,0.0,0,56
12595059,12541490,0.27899169921875,0.34814453125,-0.05523681640625,-0.89324951171875,0,56,12542556,1015.535888671875,23.360000610351562,-19.003562927246094,57,12595057,0,0,0.0,0.0,0.0,0,57
12644059,12596305,0.27862548828125,0.34796142578125,-0.05548095703125,-0.8934326171875,0,57,12597372,1015.528076171875,23.360000610351562,-18.937503814697266,58,12644056,0,0,0.0,0.0,0.0,0,58
12690070,12648490,0.27740478515625,0.34814453125,-0.0570068359375,-0.8936767578125,0,58,12649556,1015.54296875,23.3700008392334,-19.06169319152832,59,12690067,0,0,0.0,0.0,0.0,0,59
12742059,12700490,0.27447509765625,0.347900390625,-0.05877685546875,-0.89453125,0,59,12701556,1015.52197265625,23.3700008392334,-18.887300491333008,60,12742057,0,0,0.0,0.0,0.0,0,60
12795119,12752675,0.27215576171875,0.34747314453125,-0.06085205078125,-0.895263671875,0,60,12753741,1015.510986328125,23.3700008392334,-18.797460556030273,61,12795116,0,0,0.0,0.0,0.0,0,61
12842059,12805924,0.269775390625,0.346923828125,-0.06329345703125,-0.89605712890625,0,61,12806990,1015.524169921875,23.3799991607666,-18.90579605102539,62,12842057,0,0,0.0,0.0,0.0,0,62
12897060,12843490,0.26763916015625,0.3466796875,-0.06658935546875,-0.89654541015625,0,62,12844556,1015.518310546875,23.3799991607666,-18.855592727661133,63,12897057,0,0,0.0,0.0,0.0,0,63
