t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq,fin_cmd_rad
10715322,2,4.008984566,10714251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,25,10715316,1024.666748,27.56999969,-94.40215302,26,0,0,0,0,0,0,0,0,0
10721376,2,4.015429497,10720305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,26,10721371,1024.666748,27.56999969,-94.40215302,27,0,0,0,0,0,0,0,0,0
10728322,2,3.99609375,10727251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0,0,0,0,0,0,27,10728317,1024.666748,27.56999969,-94.40215302,28,0,0,0,0,0,0,0,0,0
10731322,2,4.002539158,10730251,0.267456055,-0.115844727,-0.241577148,0.925537109,3,0.03125,-0.0546875,0.04296875,0,0,0,28,10731317,1024.666748,27.56999969,-94.40215302,29,0,0,0,0,0,0,0,0,0
10734376,2,4.002539158,10733305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,29,10734371,1024.657715,27.56999969,-94.32816315,30,0,0,0,0,0,0,0,0,0
10740322,2,4.002539158,10739251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,30,10740317,1024.657715,27.56999969,-94.32816315,31,0,0,0,0,0,0,0,0,0
10743376,2,4.002539158,10742305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,31,10743371,1024.657715,27.56999969,-94.32816315,32,0,0,0,0,0,0,0,0,0
10750322,2,4.002539158,10749251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,32,10750317,1024.657715,27.56999969,-94.32816315,33,0,0,0,0,0,0,0,0,0
10756376,2,4.002539158,10755305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,33,10756371,1024.614258,27.55999947,-93.97145081,34,0,0,0,0,0,0,0,0,0
10761322,2,4.002539158,10760251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,34,10761316,1024.614258,27.55999947,-93.97145081,35,0,0,0,0,0,0,0,0,0
10764376,2,4.008984566,10763305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,35,10764371,1024.614258,27.55999947,-93.97145081,36,0,0,0,0,0,0,0,0,0
10771322,2,4.002539158,10770251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,36,10771317,1024.614258,27.55999947,-93.97145081,37,0,0,0,0,0,0,0,0,0
10777376,2,4.002539158,10776305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,37,10777371,1024.60498,27.55999947,-93.89746857,38,0,0,0,0,0,0,0,0,0
10782322,2,4.015429497,10781251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,38,10782317,1024.60498,27.55999947,-93.89746857,39,0,0,0,0,0,0,0,0,0
10785376,2,4.008984566,10784305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,39,10785371,1024.60498,27.55999947,-93.89746857,40,0,0,0,0,0,0,0,0,0
10792322,2,4.002539158,10791251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,40,10792317,1024.66748,27.55999947,-94.41007996,41,0,0,0,0,0,0,0,0,0
10798376,2,3.99609375,10797305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,41,10798371,1024.673828,27.56999969,-94.46292114,42,0,0,0,0,0,0,0,0,0
10804322,2,4.002539158,10803251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,42,10804316,1024.673828,27.56999969,-94.46292114,43,0,0,0,0,0,0,0,0,0
10807376,2,4.008984566,10806305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,43,10807371,1024.673828,27.56999969,-94.46292114,44,0,0,0,0,0,0,0,0,0
10817322,2,4.002539158,10816251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,44,10817317,1024.653809,27.56999969,-94.29645538,45,0,0,0,0,0,0,0,0,0
10820376,2,4.002539158,10819305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,45,10820371,1024.653809,27.56999969,-94.29645538,46,0,0,0,0,0,0,0,0,0
10827322,2,4.002539158,10826251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,46,10827317,1024.653809,27.56999969,-94.29645538,47,0,0,0,0,0,0,0,0,0
10834376,2,4.008984566,10833305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,47,10834371,1024.721191,27.56999969,-94.85134125,48,0,0,0,0,0,0,0,0,0
10840322,2,4.002539158,10839251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,48,10840317,1024.721191,27.56999969,-94.85134125,49,0,0,0,0,0,0,0,0,0
10843376,2,3.99609375,10842305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,49,10843371,1024.721191,27.56999969,-94.85134125,50,0,0,0,0,0,0,0,0,0
10848322,2,4.002539158,10847251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,50,10848316,1024.721191,27.56999969,-94.85134125,51,0,0,0,0,0,0,0,0,0
10855376,2,4.008984566,10854305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,51,10855371,1024.655029,27.56999969,-94.30702972,52,0,0,0,0,0,0,0,0,0
10861322,2,4.002539158,10860251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,52,10861317,1024.655029,27.56999969,-94.30702972,53,0,0,0,0,0,0,0,0,0
10864376,2,4.002539158,10863305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,53,10864371,1024.655029,27.56999969,-94.30702972,54,0,0,0,0,0,0,0,0,0
10869322,2,4.002539158,10868251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,54,10869316,1024.655029,27.56999969,-94.30702972,55,0,0,0,0,0,0,0,0,0
10879376,2,4.002539158,10878305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,55,10879371,1024.66333,27.56999969,-94.37572479,56,0,0,0,0,0,0,0,0,0
10885322,2,4.002539158,10884251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,0.03125,-0.0546875,0.04296875,0,0,0,56,10885317,1024.66333,27.56999969,-94.37572479,57,0,0,0,0,0,0,0,0,0
10888322,2,4.008984566,10887251,0.267456055,-0.115844727,-0.241577148,0.925537109,3,-0.046875,-0.01953125,0.00390625,0,0,0,57,10888317,1024.66333,27.56999969,-94.37572479,58,0,0,0,0,0,0,0,0,0
10891376,2,4.015429497,10890305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,58,10891371,1024.660156,27.56999969,-94.3493042,59,0,0,0,0,0,0,0,0,0
10901322,2,4.002539158,10900251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,59,10901317,1024.660156,27.56999969,-94.3493042,60,0,0,0,0,0,0,0,0,0
10905376,2,4.015429497,10904305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,60,10905370,1024.660156,27.56999969,-94.3493042,61,0,0,0,0,0,0,0,0,0
10909322,2,4.002539158,10908251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,61,10909317,1024.660156,27.56999969,-94.3493042,62,0,0,0,0,0,0,0,0,0
10912376,2,4.021874905,10911305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,62,10912371,1024.639893,27.55999947,-94.18283844,63,0,0,0,0,0,0,0,0,0
10922322,2,4.002539158,10921251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,63,10922317,1024.639893,27.55999947,-94.18283844,64,0,0,0,0,0,0,0,0,0
10925376,2,4.015429497,10924305,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,64,10925371,1024.639893,27.55999947,-94.18283844,65,0,0,0,0,0,0,0,0,0
10930322,2,4.002539158,10929251,0.267456055,-0.115844727,-0.241577148,0.925537109,0,-0.046875,-0.01953125,0.00390625,0,0,0,65,10930316,1024.639893,27.55999947,-94.18283844,66,0,0,0,0,0,0,0,0,0
