t_us,state,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
17188074,1,17170553,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,6.428540782997958e-40,2.6512538919056252e-39,1,17171618,1026.52880859375,24.719999313354492,-109.68268585205078,1,17188071,0,0,0.0,0.0,0.0,0,1
17283382,2,17170553,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,nan,6.428540782997958e-40,2.6512538919056252e-39,1,17260339,1026.484619140625,24.719999313354492,0.36464008688926697,3,17283379,0,0,0.0,0.0,0.0,0,2
17333178,2,17290737,1.0,0.0,0.0,0.0,3,0.0234375,0.00390625,0.0234375,nan,6.428540782997958e-40,2.6512538919056252e-39,2,17291802,1026.5009765625,24.729999542236328,0.2272394746541977,4,17333175,0,0,0.0,0.0,0.0,0,3
17386126,2,17344329,1.0,0.0,0.0,0.0,0,0.0234375,0.00390625,0.0234375,nan,7.346671536823578e-40,2.833429698760173e-39,3,17345395,1026.5419921875,24.729999542236328,-0.10833510011434555,5,17386123,0,0,0.0,0.0,0.0,0,4
17434175,2,17398422,1.0,0.0,0.0,0.0,3,0.0234375,0.00390625,-0.015625,nan,7.346671536823578e-40,2.833429698760173e-39,4,17399487,1026.539794921875,24.729999542236328,-0.08983886241912842,6,17434172,0,0,0.0,0.0,0.0,0,5
17484175,2,17436329,1.0,0.0,0.0,0.0,0,0.0234375,0.00390625,-0.015625,0.0,7.346783640700724e-40,2.9275100750580127e-39,5,17437395,1026.5029296875,24.729999542236328,0.2113855630159378,7,17484172,0,0,0.0,0.0,0.0,0,6
17538184,2,17489689,1.0,0.0,0.0,0.0,0,0.0234375,0.00390625,-0.015625,nan,7.346769627716081e-40,3.0168022145032543e-39,6,17490754,1026.503173828125,24.739999771118164,0.2113855630159378,8,17538181,0,0,0.0,0.0,0.0,0,7
17584413,2,17542164,1.0,0.0,0.0,0.0,0,0.0234375,0.00390625,-0.015625,5.510101743510186e-40,7.346783640700724e-40,3.051834676111375e-39,7,17543230,1026.5068359375,24.739999771118164,0.17967772483825684,9,17584410,0,0,0.0,0.0,0.0,0,8
17638136,2,17595665,0.2286376953125,0.043212890625,0.00372314453125,0.9725341796875,0,0.0234375,0.00390625,-0.015625,5.510101743510186e-40,7.346783640700724e-40,3.051834676111375e-39,8,17596730,1026.490966796875,24.739999771118164,0.311793714761734,10,17638133,0,0,0.0,0.0,0.0,0,9
17684060,2,17648164,0.2286376953125,0.043212890625,0.00372314453125,0.9725341796875,0,0.0234375,0.00390625,-0.015625,nan,8.265166628249923e-40,3.2121067866700614e-39,9,17649230,1026.513671875,24.739999771118164,0.12154670059680939,11,17684057,0,0,0.0,0.0,0.0,0,10
