t_us,p_x,p_y,p_z,v_x,v_y,v_z,roll_deg,pitch_deg,yaw_deg,r_baro,r_gps_pos_x,r_gps_pos_y,r_gps_pos_z,r_gps_vel_x,r_gps_vel_y,r_gps_vel_z
6177513,4.328695,-3.201568,3.480469,10.327315,-7.707360,11.516469,0.000000,0.000000,0.000000,3.830160,-6.517147,5.054674,-3.415758,-18.292638,13.860679,-10.603014
6258577,4.156270,-3.055540,3.500272,9.747879,-7.291293,11.562945,0.000000,0.000000,0.000000,3.963651,-5.885226,4.538789,-3.472498,-16.113269,12.179594,-10.861082
6313577,5.939295,-4.424601,3.380980,15.938972,-12.098686,10.796249,0.000000,0.000000,0.000000,3.866866,-5.885226,4.538789,-3.472498,-16.113269,12.179594,-10.861082
6373577,4.678341,-3.457199,3.442029,11.089390,-8.431650,11.317033,0.000000,0.000000,0.000000,4.505970,-7.058423,5.432733,-3.412863,-19.798181,15.114104,-10.378414
6456513,4.462793,-3.297196,3.410432,10.226859,-7.845245,11.317459,0.000000,0.000000,0.000000,4.163686,-6.460067,4.980184,-3.389676,-17.727998,13.576783,-10.494335
6510513,6.325542,-4.739656,3.252939,16.785728,-12.945576,10.465580,0.000000,0.000000,0.000000,3.889463,-6.460067,4.980184,-3.389676,-17.727998,13.576783,-10.494335
6568513,4.741459,-3.122619,3.397464,10.437530,-6.718802,11.346237,0.000000,0.000000,0.000000,3.775466,-7.458199,6.449084,-3.244879,-20.744604,16.019336,-10.023465
6622577,6.735964,-4.596774,3.215199,17.500120,-12.206211,10.400115,0.000000,0.000000,0.000000,4.000147,-7.458199,6.449084,-3.244879,-20.744604,16.019336,-10.023465
6676513,4.820719,-2.941319,3.345230,10.122357,-6.169742,11.307723,0.000000,0.000000,0.000000,3.785571,-7.792160,6.213261,-3.209357,-21.288877,15.184814,-9.952023
6733513,3.801220,-2.090885,3.388694,6.115743,-3.223932,11.736889,0.000000,0.000000,0.000000,3.805362,-6.663723,5.115844,-3.270441,-17.287733,11.804527,-10.413095
6787382,5.218290,-3.117162,3.296476,11.982103,-7.835298,11.000721,0.000000,0.000000,0.000000,3.641883,-6.663723,5.115844,-3.270441,-17.287733,11.804527,-10.413095
6868577,4.571887,-3.020367,3.285277,9.352879,-7.677624,11.151782,0.000000,0.000000,0.000000,3.836296,-7.248595,4.776550,-3.183175,-19.610496,13.818116,-10.027406
6925513,6.552839,-4.599103,3.151051,16.676980,-13.462990,10.261198,0.000000,0.000000,0.000000,3.758549,-7.248595,4.776550,-3.183175,-19.610496,13.818116,-10.027406
6980577,4.644674,-2.942496,3.305208,9.270001,-7.049400,11.249427,0.000000,0.000000,0.000000,3.627049,-7.646060,6.304080,-3.120172,-20.845834,16.754295,-9.755220
7061513,4.264010,-2.564399,3.293087,8.431729,-6.199579,11.296030,0.000000,0.000000,0.000000,3.815617,-6.431014,5.171249,-3.200232,-16.761945,12.965079,-10.268537
7116513,6.133950,-4.013204,3.151590,15.797844,-12.005113,10.361075,0.000000,0.000000,0.000000,3.692677,-6.431014,5.171249,-3.200232,-16.761945,12.965079,-10.268537
7177513,4.511665,-3.128863,3.303374,9.213563,-8.322205,11.187351,0.000000,0.000000,0.000000,3.921972,-7.356155,5.110309,-3.199320,-20.263900,15.521258,-9.939427
7259577,4.286717,-2.770848,3.262714,9.059969,-7.225910,11.170203,0.000000,0.000000,0.000000,4.134098,-6.351408,5.468191,-3.199054,-17.110111,14.556384,-10.157671
7314577,6.196362,-4.278423,3.133658,16.519245,-13.092242,10.259621,0.000000,0.000000,0.000000,3.603780,-6.351408,5.468191,-3.199054,-17.110111,14.556384,-10.157671
7372577,4.533421,-3.251413,3.274559,9.604709,-8.655096,11.139822,0.000000,0.000000,0.000000,3.540038,-7.431518,5.402763,-3.120562,-21.329504,16.877838,-9.683989
7454577,4.268680,-2.799795,3.278147,9.015746,-6.970165,11.260135,0.000000,0.000000,0.000000,3.964923,-6.387717,5.604390,-3.186259,-17.593946,14.918902,-10.136898
7508577,6.270872,-4.370671,3.103709,17.127054,-13.368277,10.197584,0.000000,0.000000,0.000000,4.011912,-6.387717,5.604390,-3.186259,-17.593946,14.918902,-10.136898
7565513,4.577087,-2.867147,3.256398,9.897819,-7.082536,11.206311,0.000000,0.000000,0.000000,3.845327,-7.486507,6.160264,-3.108259,-21.800855,17.063827,-9.675668
7619643,6.673362,-4.482413,3.097761,18.115453,-13.574072,10.170614,0.000000,0.000000,0.000000,3.780387,-7.486507,6.160264,-3.108259,-21.800855,17.063827,-9.675668
7674643,4.724684,-2.883339,3.231642,10.060467,-7.137424,11.190255,0.000000,0.000000,0.000000,4.097933,-7.875412,6.246261,-3.079949,-22.845779,17.304422,-9.595192
7732643,3.669198,-2.030175,3.316922,5.438035,-3.579432,11.795199,0.000000,0.000000,0.000000,3.674767,-6.797400,5.300349,-3.192474,-18.811563,13.975160,-10.141598
