t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
7245422,1,3.880078077316284,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7245417,1024.49951171875,25.479999542236328,-93.0307846069336,1,0,0,0,0.0,0.0,0.0,0,0
7285344,2,3.8736329078674316,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7285339,1024.470947265625,25.489999771118164,-92.79561614990234,2,0,0,0,0.0,0.0,0.0,0,0
7287507,2,3.8736329078674316,7286437,0.986083984375,0.0970458984375,-0.0941162109375,-0.09661865234375,0,0.0,0.0,0.0,0.0,0.0,0.0,1,7287502,1024.470947265625,25.489999771118164,-92.79561614990234,3,0,0,0,0.0,0.0,0.0,0,0
7294322,2,3.880078077316284,7293251,0.986083984375,0.0970458984375,-0.0941162109375,-0.09661865234375,0,0.0,0.0,0.0,-0.00390625,0.001953125,-0.00390625,2,7294316,1024.481201171875,25.489999771118164,-92.88017272949219,4,0,0,0,0.0,0.0,0.0,0,0
7303376,2,3.880078077316284,7302306,0.986083984375,0.09698486328125,-0.09405517578125,-0.0966796875,0,0.0,0.0,0.0,-0.00390625,0.001953125,-0.00390625,3,7303371,1024.481201171875,25.489999771118164,-92.88017272949219,5,0,0,0,0.0,0.0,0.0,0,0
7309322,2,3.880078077316284,7308251,0.986083984375,0.09698486328125,-0.09405517578125,-0.0966796875,0,0.0,0.0,0.0,0.001953125,0.0,0.0,4,7309316,1024.481201171875,25.489999771118164,-92.88017272949219,6,0,0,0,0.0,0.0,0.0,0,0
7311377,2,3.8736329078674316,7310306,0.986083984375,0.0970458984375,-0.09405517578125,-0.0966796875,0,0.0,0.0,0.0,0.001953125,0.0,0.0,5,7311371,1024.506103515625,25.5,-93.08363342285156,7,0,0,0,0.0,0.0,0.0,0,0
7315322,2,3.886523485183716,7314251,0.986083984375,0.0970458984375,-0.09405517578125,-0.0966796875,0,0.0,0.0,0.0,0.0,0.00390625,0.001953125,6,7315316,1024.506103515625,25.5,-93.08363342285156,8,0,0,0,0.0,0.0,0.0,0,0
7324376,2,3.8736329078674316,7323306,0.98614501953125,0.0968017578125,-0.0941162109375,-0.09661865234375,0,0.0,0.0,0.0,0.0,0.00390625,0.001953125,7,7324371,1024.506103515625,25.5,-93.08363342285156,9,0,0,0,0.0,0.0,0.0,0,0
7330322,2,3.886523485183716,7329251,0.98614501953125,0.0968017578125,-0.0941162109375,-0.09661865234375,0,0.0,0.0,0.0,-0.001953125,-0.001953125,-0.00390625,8,7330316,1024.490234375,25.510000228881836,-92.95416259765625,10,0,0,0,0.0,0.0,0.0,0,0
