t_us,state,batteryVoltage,imu_t_us,imu_q0,imu_q1,imu_q2,imu_q3,imu_calib,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_seq,baro_t_us,baro_pressure_hPa,baro_temperature_C,baro_altitude_m,baro_seq,gnss_t_us,gnss_lat_e7,gnss_lon_e7,gnss_alt_m,gnss_speed_mps,gnss_heading_deg,gnss_sats_used,gnss_seq
7027344,1,4.137890815734863,0,1.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,7027339,1024.472900390625,24.530000686645508,-92.81147003173828,1,0,0,0,0.0,0.0,0.0,0,0
7035376,2,4.144335746765137,7034305,0.709716796875,-0.1195068359375,-0.67901611328125,-0.144775390625,2,0.0,0.0,0.0,-1.724609375,0.7578125,-0.6328125,2,7035370,1024.472900390625,24.530000686645508,-92.81147003173828,2,0,0,0,0.0,0.0,0.0,0,0
7042376,2,4.137890815734863,7041305,0.7103271484375,-0.12298583984375,-0.676513671875,-0.150390625,2,0.0,0.0,0.0,-1.89453125,0.7890625,-0.625,4,7042370,1024.45654296875,24.540000915527344,-92.67671203613281,3,0,0,0,0.0,0.0,0.0,0,0
7048376,2,4.144335746765137,7047305,0.71087646484375,-0.12640380859375,-0.67413330078125,-0.15582275390625,2,0.0,0.0,0.0,-1.986328125,0.78515625,-0.642578125,6,7048370,1024.45654296875,24.540000915527344,-92.67671203613281,4,0,0,0,0.0,0.0,0.0,0,0
7059376,2,4.1572265625,7058305,0.71148681640625,-0.1326904296875,-0.66986083984375,-0.165771484375,2,0.0,0.0,0.0,-2.087890625,0.763671875,-0.6796875,8,7059370,1024.454833984375,24.530000686645508,-92.66350555419922,5,0,0,0,0.0,0.0,0.0,0,0
7067376,2,4.144335746765137,7066305,0.71136474609375,-0.14105224609375,-0.66473388671875,-0.179443359375,2,0.0,0.0,0.0,-2.32421875,0.66796875,-0.828125,10,7067370,1024.454833984375,24.530000686645508,-92.66350555419922,6,0,0,0,0.0,0.0,0.0,0,0
7073376,2,4.137890815734863,7072305,0.71112060546875,-0.144775390625,-0.66241455078125,-0.185791015625,2,0.0,0.0,0.0,-2.359375,0.64453125,-0.888671875,12,7073370,1024.454833984375,24.530000686645508,-92.66350555419922,7,0,0,0,0.0,0.0,0.0,0,0
7080376,2,4.131445407867432,7079305,0.71063232421875,-0.1502685546875,-0.65899658203125,-0.19537353515625,2,0.0,0.0,0.0,-2.3828125,0.630859375,-0.9453125,14,7080370,1024.457275390625,24.530000686645508,-92.68199920654297,8,0,0,0,0.0,0.0,0.0,0,0
7093376,2,4.144335746765137,7092305,0.70977783203125,-0.1556396484375,-0.65545654296875,-0.205810546875,2,0.0,0.0,0.0,-2.357421875,0.59375,-1.068359375,16,7093370,1024.457275390625,24.530000686645508,-92.68199920654297,9,0,0,0,0.0,0.0,0.0,0,0
7101376,2,4.144335746765137,7100305,0.707763671875,-0.16375732421875,-0.6492919921875,-0.22515869140625,2,0.0,0.0,0.0,-2.134765625,0.568359375,-1.171875,18,7101370,1024.472900390625,24.530000686645508,-92.81147003173828,10,0,0,0,0.0,0.0,0.0,0,0
